(epoch: 49, iters: 640, time: 0.014, data: 0.123 ETA:    0:38:58) G_GAN: 2.372 G_L1: 6.072 D_real: 0.108 D_fake: 0.780 
(epoch: 50, iters: 320, time: 0.014, data: 0.094 ETA:    0:39:15) G_GAN: 1.810 G_L1: 6.191 D_real: 0.287 D_fake: 0.774 
(epoch: 50, iters: 1120, time: 0.006, data: 0.137 ETA:    0:15:39) G_GAN: 0.237 G_L1: 8.715 D_real: 1.065 D_fake: 0.118 
(epoch: 51, iters: 800, time: 0.014, data: 1.294 ETA:    0:38:22) G_GAN: 1.920 G_L1: 6.761 D_real: 0.193 D_fake: 0.579 
(epoch: 52, iters: 480, time: 0.014, data: 0.053 ETA:    0:38:22) G_GAN: 1.776 G_L1: 6.368 D_real: 0.273 D_fake: 0.226 
(epoch: 53, iters: 160, time: 0.015, data: 0.073 ETA:    0:40:19) G_GAN: 1.811 G_L1: 7.390 D_real: 0.273 D_fake: 0.469 
(epoch: 53, iters: 960, time: 0.014, data: 0.011 ETA:    0:37:52) G_GAN: 2.182 G_L1: 7.627 D_real: 0.247 D_fake: 0.501 
(epoch: 54, iters: 640, time: 0.015, data: 0.103 ETA:    0:39:03) G_GAN: 1.100 G_L1: 7.557 D_real: 0.540 D_fake: 0.465 
(epoch: 55, iters: 320, time: 0.014, data: 0.010 ETA:    0:37:48) G_GAN: 1.808 G_L1: 5.892 D_real: 0.351 D_fake: 0.783 
(epoch: 55, iters: 1120, time: 0.007, data: 0.087 ETA:    0:18:30) G_GAN: 0.198 G_L1: 6.051 D_real: 2.589 D_fake: 0.062 
(epoch: 56, iters: 800, time: 0.014, data: 1.315 ETA:    0:37:37) G_GAN: 2.159 G_L1: 6.924 D_real: 0.250 D_fake: 0.480 
(epoch: 57, iters: 480, time: 0.015, data: 0.080 ETA:    0:40:39) G_GAN: 1.636 G_L1: 6.308 D_real: 0.195 D_fake: 0.603 
(epoch: 58, iters: 160, time: 0.014, data: 0.039 ETA:    0:37:11) G_GAN: 1.822 G_L1: 6.732 D_real: 0.301 D_fake: 0.489 
(epoch: 58, iters: 960, time: 0.015, data: 0.009 ETA:    0:38:50) G_GAN: 1.114 G_L1: 6.468 D_real: 0.474 D_fake: 0.199 
(epoch: 59, iters: 640, time: 0.014, data: 0.018 ETA:    0:37:19) G_GAN: 1.887 G_L1: 7.306 D_real: 0.127 D_fake: 0.805 
(epoch: 60, iters: 320, time: 0.015, data: 0.046 ETA:    0:38:37) G_GAN: 1.597 G_L1: 6.418 D_real: 0.184 D_fake: 0.499 
(epoch: 60, iters: 1120, time: 0.006, data: 0.043 ETA:    0:16:11) G_GAN: 3.081 G_L1: 7.730 D_real: 0.192 D_fake: 0.610 
(epoch: 61, iters: 800, time: 0.015, data: 1.237 ETA:    0:38:09) G_GAN: 1.245 G_L1: 7.130 D_real: 0.582 D_fake: 0.214 
(epoch: 62, iters: 480, time: 0.014, data: 0.017 ETA:    0:35:59) G_GAN: 2.466 G_L1: 6.608 D_real: 0.246 D_fake: 0.706 
(epoch: 63, iters: 160, time: 0.015, data: 0.086 ETA:    0:37:26) G_GAN: 1.196 G_L1: 6.627 D_real: 0.288 D_fake: 0.496 
(epoch: 63, iters: 960, time: 0.014, data: 0.018 ETA:    0:34:56) G_GAN: 1.511 G_L1: 7.834 D_real: 0.504 D_fake: 0.167 
(epoch: 64, iters: 640, time: 0.013, data: 0.121 ETA:    0:33:23) G_GAN: 1.472 G_L1: 5.706 D_real: 0.369 D_fake: 0.428 
(epoch: 65, iters: 320, time: 0.014, data: 0.028 ETA:    0:35:23) G_GAN: 1.590 G_L1: 7.910 D_real: 0.336 D_fake: 0.222 
(epoch: 65, iters: 1120, time: 0.006, data: 0.009 ETA:    0:13:56) G_GAN: 0.507 G_L1: 9.605 D_real: 1.158 D_fake: 0.168 
(epoch: 66, iters: 800, time: 0.014, data: 1.240 ETA:    0:34:59) G_GAN: 1.416 G_L1: 6.920 D_real: 0.512 D_fake: 0.625 
(epoch: 67, iters: 480, time: 0.014, data: 0.056 ETA:    0:35:11) G_GAN: 1.830 G_L1: 6.437 D_real: 0.098 D_fake: 0.708 
(epoch: 68, iters: 160, time: 0.014, data: 0.097 ETA:    0:35:16) G_GAN: 1.300 G_L1: 6.587 D_real: 0.386 D_fake: 0.344 
(epoch: 68, iters: 960, time: 0.014, data: 0.039 ETA:    0:33:39) G_GAN: 1.472 G_L1: 6.644 D_real: 0.415 D_fake: 0.232 
(epoch: 69, iters: 640, time: 0.014, data: 0.011 ETA:    0:34:00) G_GAN: 2.834 G_L1: 7.350 D_real: 0.213 D_fake: 0.647 
(epoch: 70, iters: 320, time: 0.014, data: 0.081 ETA:    0:34:12) G_GAN: 2.913 G_L1: 6.875 D_real: 0.219 D_fake: 0.556 
(epoch: 70, iters: 1120, time: 0.007, data: 0.007 ETA:    0:15:51) G_GAN: 1.548 G_L1: 8.682 D_real: 0.313 D_fake: 0.473 
(epoch: 71, iters: 800, time: 0.014, data: 1.213 ETA:    0:33:32) G_GAN: 1.856 G_L1: 6.293 D_real: 0.149 D_fake: 0.344 
(epoch: 72, iters: 480, time: 0.014, data: 0.061 ETA:    0:33:03) G_GAN: 2.537 G_L1: 7.733 D_real: 0.140 D_fake: 0.672 
(epoch: 73, iters: 160, time: 0.014, data: 0.010 ETA:    0:32:13) G_GAN: 2.134 G_L1: 6.679 D_real: 0.248 D_fake: 0.515 
(epoch: 73, iters: 960, time: 0.014, data: 0.014 ETA:    0:32:51) G_GAN: 0.859 G_L1: 6.603 D_real: 0.415 D_fake: 0.414 
(epoch: 74, iters: 640, time: 0.014, data: 0.105 ETA:    0:33:33) G_GAN: 1.706 G_L1: 7.021 D_real: 0.505 D_fake: 0.260 
(epoch: 75, iters: 320, time: 0.014, data: 0.079 ETA:    0:32:14) G_GAN: 0.722 G_L1: 6.741 D_real: 0.766 D_fake: 0.222 
(epoch: 75, iters: 1120, time: 0.006, data: 0.012 ETA:    0:14:05) G_GAN: 0.541 G_L1: 7.603 D_real: 1.945 D_fake: 0.115 
(epoch: 76, iters: 800, time: 0.014, data: 1.242 ETA:    0:32:37) G_GAN: 1.958 G_L1: 6.639 D_real: 0.095 D_fake: 0.759 
(epoch: 77, iters: 480, time: 0.015, data: 0.025 ETA:    0:33:04) G_GAN: 1.436 G_L1: 6.392 D_real: 0.295 D_fake: 0.404 
(epoch: 78, iters: 160, time: 0.015, data: 0.046 ETA:    0:32:52) G_GAN: 1.178 G_L1: 7.305 D_real: 0.394 D_fake: 0.641 
(epoch: 78, iters: 960, time: 0.014, data: 0.011 ETA:    0:30:59) G_GAN: 1.967 G_L1: 6.674 D_real: 0.150 D_fake: 0.637 
(epoch: 79, iters: 640, time: 0.014, data: 0.090 ETA:    0:31:27) G_GAN: 0.548 G_L1: 7.082 D_real: 1.395 D_fake: 0.188 
(epoch: 80, iters: 320, time: 0.014, data: 0.009 ETA:    0:32:04) G_GAN: 0.991 G_L1: 6.183 D_real: 0.862 D_fake: 0.712 
(epoch: 80, iters: 1120, time: 0.006, data: 0.089 ETA:    0:13:12) G_GAN: 1.390 G_L1: 7.677 D_real: 0.855 D_fake: 0.238 
(epoch: 81, iters: 800, time: 0.014, data: 1.278 ETA:    0:31:46) G_GAN: 1.910 G_L1: 6.705 D_real: 0.104 D_fake: 0.827 
(epoch: 82, iters: 480, time: 0.014, data: 0.055 ETA:    0:30:42) G_GAN: 1.730 G_L1: 7.728 D_real: 0.584 D_fake: 0.087 
(epoch: 83, iters: 160, time: 0.014, data: 0.097 ETA:    0:30:27) G_GAN: 2.209 G_L1: 6.500 D_real: 0.107 D_fake: 0.493 
(epoch: 83, iters: 960, time: 0.014, data: 0.009 ETA:    0:30:14) G_GAN: 2.011 G_L1: 7.170 D_real: 0.284 D_fake: 0.301 
(epoch: 84, iters: 640, time: 0.014, data: 0.033 ETA:    0:30:35) G_GAN: 2.245 G_L1: 6.397 D_real: 0.249 D_fake: 0.559 
